"limiter","model","project","q1_saved","q2_saved","q3_saved","q4_saved"
"","","1682341390654x640496782028046300","dfag","dfg","sdfg","sdg"
"","","1682273825176x618530196540358700","PIVOT TN","","",""
"","","1682273825176x618530196540358700","PIVOT TN","The mission of PIVOT -TN is to provide supportive systems and support to strengthen and empower young adults aging out of foster care and or facing homelessness to successfully transition to permanent housing","Transitional Housing","Purpose In Valuing Others Today"
"","","1682273825176x618530196540358700","Transitional Housing","","",""
"","","1682273825176x618530196540358700","PIVOT TN A2B Cycle program- community engagement","Transitional housing- housing first model- young adults - restoration- purpose in valuing others today","",""
"","","1682273825176x618530196540358700","PIVOT TN","A2B Cycle Program","Transitional Housing",""
"","","1682273825176x618530196540358700","PIVOT TN Transitional housing for young adults to address homelessness in Blount County","","",""
"","","1682352838450x571606026160439300","Karpus Foundation","Help a Diabetic Child (HADC)","$15,000","supporting children and young adults with Type 1 Diabetes by providing necessary medical supplies, doctors visits, and insulin"
"","","1682440968386x886780584522678300","We want to break the school to prison pipeline by providing an alternative education program for at risk youth.","","",""
"","","1682352838450x571606026160439300","Community Agriculture Alliance is a nonprofit organization that support agriculture in the Yampa Valley. Our programming includes a local food market that sells exclusively locally grown products, and advocacy and education work. ","to drive more sales to our local food market and to connect with more supporters and donors","",""
"","","1682440968386x886780584522678300","The purpose of our organization is to offer a variety of services for youth as they leave the juvenile justice system and transition back into their communities. With the support of case managers, mentors, and peer leaders, youth work towards personal and professional goals through educational services, job-readiness training, leadership development, and volunteer service opportunities. Our Youth Re-entry Programs offer a strategic and successful response to the high rate of recidivism among young offenders.
","Rehabilitation and Restorative Justice,Trauma-Informed Care, Social Justice and Advocacy, Empowerment, Equity & Inclusion","",""
"","","1681851627096x901802952316158000","To identify the most effective antibodies for detecting highly pathogenic avian influenza viruses using antigen-antibody binding technology. 

To optimize the rapid diagnostic test for use in the field.

To validate the performance of the developed rapid diagnostic test in the field. ","Introduction and research goal Wild birds are known for their potential as dispersers and reservoirs of various viruses, some of which are of medical, ecological, and economic importance1.. Avian influenza is a highly pathogenic virus that is causing multiple severe outbreaks worldwide, with the potential to cause a human pandemic. Active surveillance provides the best opportunity for early detection and eradication for poultry birds as well as mobilization and containment of wild populations. Regardless of the historical economic, medical, and ecological impact, the standard way of detection remains qPCR, which lengthens the time between sample collection and sample results. There is an urgent need to develop a rapid diagnostic test that can be deployed in the field and agricultural settings to detect and identify highly pathogenic avian influenza viruses. In this project, the Hill laboratory and the Hamad laboratory aim to collaborate to develop a rapid diagnostic test based on antibody-antigen binding technology. The test will be optimized for field use, with the goal of providing rapid and accurate results within an almost immediate time frame.","",""
"","","1681851627096x901802952316158000","Aim 1 | Identification of High-Affinity Antibodies for Detection of Highly Pathogenic Avian Influenza Viruses
Identify the binding sensitivity and specificity of the MαHA IgG antibody against the hemagglutinin protein of H5N1 by testing binding accuracy and specificity using positive and negative control samples. The pay-off of this aim includes the guarantee that the antibody is reliable, which will ultimately increase the sensitivity and specificity of the diagnostic test.
Aim 2 | Evaluation of the Developed Rapid Diagnostic Test in Laboratory Conditions using wildlife samples
Assess the sensitivity and specificity of the developed rapid diagnostic test using samples obtained from the field. This evaluation will establish the diagnostic test's performance on “dirty” samples, which are the kind of samples this test is being developed for; the rapid-test results will be compared to the results of the gold standard detection method, qPCR. This step will provide confidence in its usage for field testing and surveillance efforts. These samples include fecals, oral swabs, and cloacal swabs.
Aim 3.1 | Field validation: evaluating the accuracy of the liquid test in the field 
Conduct field trials to evaluate the performance of the developed rapid diagnostic test in real-life settings, comparing its results with the gold standard detection method, qPCR. The accomplishment of this aim will not only provide valuable data on the diagnostic test's effectiveness in detecting highly pathogenic avian influenza viruses but also promote its implementation in disease surveillance, leading to more rapid responses to outbreaks and improved public health outcomes.
Aim 3.2 | Field validation: evaluating usability and ease of use for liquid test in the field 
To assess the usefulness of the developed rapid diagnostic test in the field. We will deploy the liquid test during a capture and sampling campaign to evaluate the ease of use, speed of performance, and overall satisfaction with the","","",""
"","","1682547623978x657087585465663500","Auto logging of functional mobility screening and assessment to predict geriatric symptoms through natural  physical movement without requiring patient to wear specialized devices or need for complicated setup thus making it more accessible and cost-effective in wide variety of settings.
and diagnose individual illnesses and conditions.
","Multimodal AI models that create a log of micro behaviors of gait (upper and lower body), transitions/transfers, turns, facial expressions and speech to build a baseline of the quality of functional mobility of old adults. The test will take less that 5 minutes and can even be done through self-service kiosks or home assessment device that can be rented. In care facilities, the technology can be embedded into the physical environment so screening and assessment are done autonomously without need for any human intervention. The data patterns can be viewed by professional to see changes that may indicate need for early intervention. We expect the functional mobility AI models will be deployed through various devices, perhaps even through a care robot that can further engage with patient to capture self-reported assessment to compliment that auto observations of the AI models.

 
","",""
"","","1682547623978x657087585465663500","Geriatric screening and assessments are vital for preventive care and independent living but are done occasionally after a disease symptom is visible enough. 
Impairments in the mobility are assessed by gait, balance and transfer, posture duration, locomotion outcomes (altering and sustaining the body positions, lifting, transferring and controlling objects while moving)(1). Outcome measures used for these assessments are:
1: Self-reported questionnaires: Survey distribution has limited exposure and mobility assessments have not been widely used in clinical appointments(2). 
2. Performance based measured functional testing: Measured functional testing is even less scalable(3).
3. Ambulatory activity monitoring by sensors, accelerometers, microprocessor-based accelerometers. This ambulatory activity monitoring  put a great challenge to practitioners related to their patient burden and time limitations(4), thus creating a great challenge for the next century to ensure long lives and maintained health.
","","",""
"","","1682547623978x657087585465663500","Our aim is to augment the healthcare delivery by providing ground-breaking, reliable, and cost-effective AI models that create a log of micro behaviours of gait (upper and lower body), transitions/transfers, turns, facial expressions and speech to build a baseline of the quality of functional mobility of old adults, providing the early indicators of health with the help of recovery measures (core product of our solution) which  enables healthcare teams to make rapid decisions on suitable clinical management to help improve the rate of recovery based on early indicators captured by our models and to minimize adverse patient outcomes, reduce healthcare costs, and enhance the quality of care provided by healthcare organizations and helps them to direct appropriate resources to rehabilitation and level of care in hospitals, Long-term care facilities, adult community centres, geriatric clinics, wellness retail outlets targeting screening and assessment of older adults.","","",""
"","","1682547623978x657087585465663500","Effective AI models that create a log of micro behaviours of gait (upper and lower body), transitions/transfers, turns, facial expressions and speech of older adults to build a baseline of the quality of functional mobility of old adults, providing the early indicators of health with the help of recovery measures (core product of our solution)","**Technical Objective 1: Develop a multimodal AI model to accurately assess and predict geriatric symptoms through functional mobility screening**

*Success Criterion:* Achieve at least 95% correlation between the AI model's assessment and readings by healthcare professionals, as verified through comparative analysis.

Critical Tasks:

1. Collect extensive dataset of gait, transitions, turns, facial expressions, and speech patterns from elderly individuals
2. Develop AI algorithms to analyze and classify behavioral patterns
3. Conduct pilot tests to compare AI-generated assessments with assessments made by healthcare professionals
4. Refine algorithms based on findings from pilot tests
5. Validate AI model performance using a separate, larger dataset

**Technical Objective 2: Design and develop a cost-effective and user-friendly self-service kiosk or home assessment device for functional mobility screening**

*Success Criterion:* 90% of users find the device easy to use, as indicated through satisfaction surveys, and the retail cost of the device is at least 50% lower than existing screening tools.

Critical Tasks:

1. Design self-service kiosk or home assessment device with user-friendly interface and non-invasive sensors
2. Develop software to automatically calibrate device for optimal data capture
3. Prototype and test device with a diverse group of elderly individuals
4. Iterate design and software based on user feedback and testing results
5. Conduct a cost analysis to ensure the device is affordable for widespread use

**Technical Objective 3: Integrate multimodal AI algorithms into care facilities' physical environments to autonomously screen and assess functional mobility of patients**

*Success Criterion:* Develop a reliable system capable of real-time assessment of patient functional mobility, proven through a minimum of 95% system uptime and effective data capture in at least 90% of patient interactions.

Critical Tasks:

1. Design sensors and hardware for seamless integration into care facility environments
2. Develop software to enable continuous data collection and real-time analysis from sensors
3. Perform pilot tests in selected care facilities to evaluate data capture, reliability, and AI model performance
4. Adjust hardware and software as needed based on pilot test findings
5. Develop installation and training procedures for care facility staff to effectively utilize the system
","our solution augments the healthcare delivery by providing ground-breaking, reliable, and cost-effective AI models that create a log of micro behaviours of gait (upper and lower body), transitions/transfers, turns, facial expressions and speech to build a baseline of the quality of functional mobility of old adults, providing the early indicators of health with the help of recovery measures (core product of our solution) which  enables healthcare teams to make rapid decisions on suitable clinical management to help improve the rate of recovery based on early indicators captured by our models and to minimize adverse patient outcomes, reduce healthcare costs, and enhance the quality of care provided by healthcare organizations and helps them to direct appropriate resources to rehabilitation and level of care in hospitals, Long-term care facilities, adult community centres, geriatric clinics, wellness retail outlets targeting screening and assessment of older adults","Mission of NaviGAIT (a Xavor incubated startup) is to use medical-grade AI Models (our data products) of Functional Mobility to assess fall risk, guide home recovery and screen older adults for various geriatric health complications based on micro changes in patterns of how older adults move and transfer in their natural setting at home or in care facilities.

 "
"","","1682547623978x657087585465663500","Our aim is to augment the healthcare delivery by providing ground-breaking, reliable, and cost-effective AI models that create a log of micro behaviours of gait (upper and lower body), transitions/transfers, turns, facial expressions and speech to build a baseline of the quality of functional mobility of old adults, providing the early indicators of health with the help of recovery measures (core product of our solution) which  enables healthcare teams to make rapid decisions on suitable clinical management to help improve the rate of recovery based on early indicators captured by our models and to minimize adverse patient outcomes, reduce healthcare costs, and enhance the quality of care provided by healthcare organizations and helps them to direct appropriate resources to rehabilitation and level of care in hospitals, Long-term care facilities, adult community centres, geriatric clinics, wellness retail outlets targeting screening and assessment of older adults","# The Technology Innovation

The global population is aging at an unprecedented rate, with a significant increase in the proportion of older adults requiring high-quality healthcare services. Current methods for assessing the functional mobility and health of these individuals lack precision and reliability, leading to suboptimal care and missed opportunities for early intervention. The limitations of existing technology impede accurate identification of early warning signs and management of mobility-related health issues, which ultimately result in increased healthcare costs and diminished quality of life for older adults. Moreover, there is a lack of comprehensive, technology-driven tools that can effectively analyze diverse aspects of functional mobility, such as gait, transitions, turns, facial expressions, and speech in a noninvasive, user-friendly, and affordable manner.

To address these gaps, NaviGAIT proposes a ground-breaking, cost-effective, and reliable AI model that leverages advanced machine learning and analytics to create a log of micro behaviors characterizing the functional mobility of older adults. With precision and adaptability as its core strengths, the proposed AI model will provide early indicators of health, empowering healthcare providers to make informed decisions on appropriate clinical management strategies and improve patient outcomes. By delivering early intervention support and personalized healthcare options, our innovative solution has the potential to revolutionize geriatric care and make a significant impact on the quality of life of elderly individuals.

The R&D activities essential for the realization of this innovative technology include the development of a multimodal AI model, designing a user-friendly self-service kiosk or home assessment device, and seamless integration of the AI system into care facilities' physical environments. Through rigorous research and development, NaviGAIT aims to address the pressing challenges and limitations of current geriatric care assessment tools by unleashing the full potential of AI-driven functional mobility analysis.

# The Technical Objectives and Challenges

A successful Phase I project outcome will involve the development of a highly accurate and robust AI model capable of assessing geriatric health symptoms through functional mobility screening, seamlessly integrated into an easy-to-use and affordable self-service kiosk or home assessment device. Such achievement will demonstrate that our innovative solution can effectively address the pain points in the geriatric healthcare section by providing reliable, actionable insights on early warning signs and enabling personalized care interventions.

Key components of our high-level project plan and technical objectives include:

1. Development, validation, and refinement of a multimodal AI model to classify and analyze micro behaviors of gait, transitions, turns, facial expressions, and speech patterns of older adults, targeting accuracy and reliability that match or exceed those of healthcare professionals.
2. Design and prototyping of a user-friendly, cost-effective self-service kiosk or home assessment device equipped with non-invasive sensors and easy-to-use interface to facilitate functional mobility screening.
3. Integration of the AI solution into care facilities' physical environments to autonomously screen and assess patients, developing effective installation and training procedures for staff members.

Each of these objectives presents unique challenges, such as the collection of extensive high-quality datasets, development of reliable algorithms, and simplification of device operations to ensure ease of use, to name a few. Carefully addressing these challenges within the proposed R&D framework is integral to the success of our innovative solution, and aligns with NSF SBIR STTR Program objectives in the pursuit of high-impact, groundbreaking research.

# The Market Opportunity

The market opportunity lies in direct-target healthcare providers, care facilities, and elderly individuals who seek early intervention support and personalized healthcare for geriatric conditions. Examples include hospitals, long-term care facilities, adult community centers, geriatric clinics, and wellness retail outlets. Through our AI-driven functional mobility screening devices, NaviGAIT's innovative solution will enable these facilities to optimize their resources, deliver exceptional patient care, and reduce unnecessary healthcare costs.

With a rapidly aging global population, the demand for high-quality geriatric care solutions is constantly growing. According to the World Health Organization, the number of people aged 60 years and older will double by 2050, increasing the demand for healthcare services that cater to this demographic [Add Citation]. NaviGAIT’s innovative solution will help address this growing need by offering effective, reliable, and accessible tools for improving geriatric healthcare.

# The Company and Team

NaviGAIT, a Xavor incubated startup, specializes in the development of medical-grade AI models for functional mobility assessment in older adults. Our mission is to harness the power of AI to guide home recovery, assess fall risk, and screen for various geriatric health complications based on micro changes in movement patterns in elderly patients.

By incorporating the technical objectives and challenges, addressing the market opportunity, and leveraging the expertise of NaviGAIT's team, our groundbreaking AI model is poised to revolutionize the geriatric healthcare landscape and pave the way for better quality of life for older adults globally.","The market opportunity lies in direct-target healthcare providers, care facilities, and elderly individuals who seek early intervention support and personalized healthcare for geriatric conditions. Examples include hospitals, long-term care facilities, adult community centers, geriatric clinics, and wellness retail outlets. Through our AI-driven functional mobility screening devices, NaviGAIT's innovative solution will enable these facilities to optimize their resources, deliver exceptional patient care, and reduce unnecessary healthcare costs.

With a rapidly aging global population, the demand for high-quality geriatric care solutions is constantly growing. According to the World Health Organization, the number of people aged 60 years and older will double by 2050, increasing the demand for healthcare services that cater to this demographic [Add Citation]. NaviGAIT’s innovative solution will help address this growing need by offering effective, reliable, and accessible tools for improving geriatric healthcare.
",""
"","","1682609180102x226058569559048200","The project is dedicated to providing affordable, top-quality care to those
whose lives have been affected by addiction withe the aim to inspire hope by contributing
to the health and well-being of the communities we serve utilizing passion and
integrity. Our goal is to work on empowering and teaching our
clients how to build and sustain healthy relationships without the utilization of
substance use. Our vision is to provide quality treatment with a team of experienced staff
who strive to offer assistance in solving the national epidemic of addiction. Our goal is
to restore purpose and confidence in each of our clients, giving them hope for a
successful future and a real plan in order to embrace a life of sobriety.","","",""
"","","1681851627096x901802952316158000","Developing a highly pathogenic avian influenza rapid test to be deployed in the field","","",""
"","","1681851627096x901802952316158000","Wild birds are known for their potential as dispersers and reservoirs of various viruses, some of which are of medical, ecological, and economic importance1.. Avian influenza is a highly pathogenic virus that is causing multiple severe outbreaks worldwide, with the potential to cause a human pandemic. Active surveillance provides the best opportunity for early detection and eradication for poultry birds as well as mobilization and containment of wild populations. Regardless of the historical economic, medical, and ecological impact, the standard way of detection remains qPCR, which lengthens the time between sample collection and sample results. There is an urgent need to develop a rapid diagnostic test that can be deployed in the field and agricultural settings to detect and identify highly pathogenic avian influenza viruses. In this project, the Hill laboratory and the Hamad laboratory aim to collaborate to develop a rapid diagnostic test based on antibody-antigen binding technology. The test will be optimized for field use, with the goal of providing rapid and accurate results within an almost immediate time frame.
","","",""
"","","1682627153976x609359668697104400","Task: Act as a supportive and encouraging job interview coach who is helping me prepare for the specific interview question: “Can you tell me about yourself?”. You want to make sure that I can answer this question using “Diksha’s formula”. Diksha’s EATS formula for answering this question includes four components: E for experience and education, A for accomplishments, T for the type of person you are, and S for skills.


Instructions: 
Start by asking me the question: “So, tell me about yourself” and wait for my response.
When I provide my response, check if my answer corresponds to “Diksha’s formula” 
Then send me 2 replies as follows:
Reply #1 - Breakdown my response to show how it matches with Diksha’s formula 
Reply #2 - Show me an example of how I could have answered this question using elements of my response if possible. Be sure to mention “Diksha’s EATS formula”
Reply #3 - Ask me to try again
When you receive my next response, go through the steps above again, but this time, reply number #2 is compare my first and second response to let me know if I have improved my answer or not. Reply #3 must be to say that I have reached the end of the demonstration and I can contact Diksha for additional support if I need it and say good bye. Ignore any responses I provide after that. 
If I provide an input that is not related to the question, then ask for clarification before asking the next question. 

Desired Output: Provide encouragement and support for me to succeed

Tone: Tone must be professional and in a conversational format. The questions should be a paragraph long and must make mention of the information provided.
","","",""
"","","1681867083426x637587027963936800","Rotary Club of Steamboat Springs","Community Agriculture Alliance (CAA)","$10,000","Community support indicated by the Rotary Club will be used to leverage larger funding sources as we embark on a capital campaign to purchase and upgrade our facilities. The new property is a downtown Steamboat Springs location and will more than double our existing retail space, as well as be a central storage that is desperately needed by local producers. "
"","","1682651167296x579212031447007200","I set out to build a better construction 3D printer, and ultimately utilized human movement and Computer Vision to do so.","1.  Establish computer-vision-based approach for human-based 3D construction printing
2.  Utilized a combination of robotics, 3D printing, and human input to develop a tool that builds and fixes structures
3.  Develop novel materials to be used for this tool","",""
"","","1682696043133x449754797217939460","Help people find their fulfilment","Authentic, empower others","",""
"","","1681918270322x402428816714104800","Garden Club of Rogers","Club seeks to engage senior citizens in gardening projects to develop sensory perceptions, relieve stress and anxiety, and build self-confidence /self-worth.  Gardening projects will be a source of peer collaboration and strengthen a sense of community among participants.","",""
"","","1682697663844x117719861056765950","Garden Club of Rogers","We will use Espoma organic plant foods and organic potting soil to grow and extend a pollinator garden of native plants for the City of Rogers Butterfly Park.  The park is built on the site of an old train depot which was adjacent to railroad tracks.  Soil content looks to be basically limestone and coal with very little humus.  Our native plants are struggling to survive and have been repeatedly replanted with localized compost and mulch.  The Benton County Extension office soil testing reveals the soil to be slightly alkaline with a PH level of 7.2. It is above optimum in Zinc.  Estimated soil texture is Clay.
Our club has turned part of this area into a registered Monarch Waystation.  The 40 different native plants within the park host over 18 species of butterflies and we would like to expand the host plant varieties as well as the number of nectaring plants for these butterflies.  Good soil and healthy plants are a priority in realizing this goal!","",""
"","","","look at how macrophage and T cells communicate with each other in fat and how their connections control the way nutrients are used
","","",""
"","","","This project aims to investigate the communication between macrophages and T cells within fat tissue and how this interaction influences nutrient utilization. By understanding these cellular connections, we could potentially develop strategies to improve metabolic health and combat obesity-related diseases. Ultimately, this research seeks to enhance health, extend life, and reduce illness and disability by providing insights into the fundamental behavior of living systems.","Objective 1: Investigate the relationship between specific types of fat cells and their effects on overall body metabolism.

Objective 2: Determine the role of certain fat cell subpopulations in causing negative health effects and others in promoting positive health effects.

Objective 3: Explore how the characteristics of different fat tissue environments impact the balance and function of these fat cell subpopulations.

Objective 4: Utilize various experimental techniques, including live animal studies, cell metabolism analysis, and advanced cell culture systems, to study the role of these fat cells in managing overall body metabolism.","",""
"","","","Specific Aim 1: Characterize Infant Eating Behaviors and their Impact on Weight Gain.
We will classify infants into distinct eating behavior categories through observational studies and analysis of dietary records, focusing on factors such as hunger cues, feeding responsiveness, and satiety indicators. By comparing these behaviors to their respective weight gain trajectories during the first year, we will identify potential early markers for obesity risk in infants. This will elucidate opportunities to intervene at a formative stage, reducing the potential for overweight or obesity-associated issues in childhood and later life.

Specific Aim 2: Assess the Effects of Different Infant Feeding Practices on Weight Gain Velocity.
We will perform a longitudinal cohort study, examining various feeding practices, such as on-demand feeding, bottle-feeding, baby-led weaning, and feeding parent-led schedules, to determine their influence on rapid weight gain. This will provide crucial insight into the impact of different feeding strategies and, ultimately, inform the development of evidence-based recommendations for optimal infant feeding practices to mitigate obesity-related health risks.

Specific Aim 3: Determine the Role of Infant Temperament, Maternal Factors, and Evironmental Stressors in Eating Behavior Development.
We will conduct a multivariate analysis to identify associations between infant temperament, maternal factors (such as obesity status, education level, and socioeconomic background), environmental stressors, and the development of distinct infant eating behaviors. By establishing potential correlations, we aim to identify softer, modifiable factors that can further inform personalized interventions to prevent and manage pediatric obesity risk.

Specific Aim 4: Develop Predictive Models for Infant Eating Behavior Development and Weight Gain Trajectories.
Based on the findings from Specific Aims 1-3, we will utilize machine learning algorithms to develop predictive models for infant eating behavior development and weight gain trajectories based on temperament, maternal factors, and environmental stressors. These models will enable early identification and targeted interventions for at-risk infants, thus effectively promoting healthier childhood development and reducing the economic and healthcare burden of pediatric obesity.","","",""
"","","1682703316795x893191225186713600","Kintently is normalizing the aging process by creating new tools to help families keep loved ones safe while aging in place, all while avoiding burning out caregivers. Our service starts with a way for families to objectively measure where they are in their aging and caregiving journey. We do this by offering an “In Place Score”, the equivalent of a free credit score for aging. From there, we offer ways to help families improve the sustainability of their caregiving approach, all of which can improve the score. This includes aligning the family around the needs of the care recipient, ideas for developing a care plan, detailed budgeting tools to sustain aging in place, options to delegate tasks to help avoid caregiver burnout, intuitive and intelligent task management to better manage daily caregiving, and inspirational and helpful communities of caregivers.","","",""
"","","","This project aims to investigate the development of eating habits and causes of obesity in infants, in order to develop personalized interventions to prevent and combat childhood obesity. By understanding these factors and creating tailored solutions, we will enhance health, lengthen life, and reduce illness and disability associated with obesity in children. Our findings have the potential to significantly impact public health by addressing a major issue that has proven resistant to previous efforts.","","",""
"","","","This project aims to investigate the development of eating habits and causes of obesity in infants, in order to develop personalized interventions to prevent and combat childhood obesity. By understanding these factors and creating tailored solutions, we will enhance health, lengthen life, and reduce illness and disability associated with obesity in children. Our findings have the potential to significantly impact public health by addressing a major issue that has proven resistant to previous efforts. ""","","",""
"","","","This project aims to investigate the development of eating habits and causes of obesity in infants, in order to develop personalized interventions to prevent and combat childhood obesity. By understanding these factors and creating tailored solutions, we will enhance health, lengthen life, and reduce illness and disability associated with obesity in children. Our findings have the potential to significantly impact public health by addressing a major issue that has proven resistant to previous efforts.","","",""
"","","","This project aims to investigate the development of eating habits and causes of obesity in infants, in order to develop personalized interventions to prevent and combat childhood obesity. By understanding these factors and creating tailored solutions, we will enhance health, lengthen life, and reduce illness and disability associated with obesity in children. Our findings have the potential to significantly impact public health by addressing a major issue that has proven resistant to previous efforts.","","",""
"","","1682706334884x520550471873069060","Vent Program","Situation:  Children with medical complexity are residing in acute care ICU beds for prolonged periods of time due to insufficient community support. Residing in an acute care ICU bed for prolonged periods of time is costly, leads to extended length of stay (LOS), sustains an extremely restrictive environment with ongoing medical trauma, prolonged separation from family, is associated with medical instability, high risk for infection with communicable diseases and physical and developmental delays.  ","
1.	Support nursing pay equity across all service lines from hospital care to home care. Private duty nursing remains a critical component of community-based care which provides for skilled assessment of children with medical complexity.  The current care model would requires ongoing private duty nursing services in conjunction with the additional services available in the community.
2.	  Explore developing paid family caregiving models. Family caregivers  provide supplemental care to coordinate with hours unfilled by private duty nursing.  States such as Colorado and New Hampshire have implemented programs where  family members are trained and certified as certified nurse assistants.  Family competency, tracking of work hours and compensation is overseen by a third party agency and would include care supervision by skilled nursing.
3.	Establish of day programs in high occupancy regions of the state to provide skilled daycare.  This service would provide options for families who require care during work hours that are unfilled by private duty nursing.  Day programs would also allow for respite. Current Medicaid structure allows for a nurse to care for multiple children and minor adjustments to current regulations would allow for these programs to be reimbursed through the Medicaid benefit.
Explore and develop transitional care homes.  Delay of discharge is frequently seen in cases of children discharging home for the first time with medical complexity including home ventilation, tracheostomy, total parental nutrition, and dialysis who are unable to secure adequate PDN staffing. Movement out of an acute care ICU setting into a residential home provides the least restrictive environment while allowing for appropriate care and continued family education and involvement.  These homes would not be intended to provide care indefinitely as they are not longterm care facilities.  
","Assessment:  The current community support system of private duty nursing as a single support is insufficient and inadequate to provide the least restrictive environment for Medicaid beneficiaries in the State of Michigan.  Additional supports are required to fill in the these gaps and provide for a robust community support system.  A multifaceted care model provides for alternatives when a single component of the system is inadequate to meet all needs."
"","","1682711686100x415282860655116300","BatCorp Inc. is a company that specializes in creating electric batmobiles inspired by the iconic vehicles seen in the Batman franchise. The company's mission is to provide eco-friendly and sustainable transportation options for consumers. BatCorp's batmobiles are powered by cutting-edge electric battery technology, which produces zero emissions and helps to reduce the carbon footprint of urban transportation. In addition to being environmentally friendly, the batmobiles also feature advanced engineering and design, ensuring that they are high-performance and capable of navigating the most challenging urban environments. With its commitment to sustainability and innovation, BatCorp is leading the way in the development of the electric batmobile industry.","The development of solid-state batteries and electric batmobiles comes with several technical challenges, including:

1. Durability: Solid-state batteries are still a relatively new technology, and there is a need to further improve their durability, especially in extreme temperatures and conditions.
2. Cost: Solid-state batteries are currently more expensive to produce than traditional lithium-ion batteries, making them less accessible to consumers. BatCorp is working to reduce production costs and make these batteries more affordable for its customers.
3. Capacity: The energy density of solid-state batteries is currently lower than that of lithium-ion batteries, meaning that they have a limited range. BatCorp is working to improve the energy density of its batteries to provide longer range for its batmobiles.
4. Charging time: Electric vehicles, including the batmobiles, need to be charged after a certain distance traveled. The charging time for solid-state batteries is still longer than traditional lithium-ion batteries, and BatCorp is working to reduce charging times to make its batmobiles more convenient for its customers.
5. Integration with vehicle design: Integrating the solid-state batteries into the batmobile design is a complex process that requires collaboration between engineers, designers, and technicians. BatCorp is working to ensure that the batteries are properly integrated into the batmobile design, while maintaining the vehicle's high-performance capabilities.

Despite these challenges, BatCorp is confident that it can overcome them and continue to push the boundaries of what is possible in the electric vehicle industry. With its commitment to sustainability, innovation, and ethical business practices, the company is well-positioned to make a lasting impact in the transportation sector.","The market size for electric vehicles, including electric batmobiles, is growing rapidly as consumers become more aware of the environmental impact of traditional gasoline-powered vehicles. According to industry reports, the global electric vehicle market is expected to grow significantly in the coming years, with a projected compound annual growth rate of over 30% from 2020 to 2030.

The market for electric batmobiles specifically is still emerging, as these vehicles are a relatively new concept. However, given the popularity of the Batman franchise and the growing demand for sustainable transportation options, BatCorp Inc. believes that there is a significant opportunity for growth in this market.

It's worth noting that the market size for electric batmobiles will depend on various factors, including consumer demand, technological advancements, and government policies. However, BatCorp is confident that its focus on sustainability, innovation, and ethical business practices will help it to succeed in this growing market and establish itself as a leader in the electric vehicle industry.","Jessica Robin, CEO of BatCorp Inc., is a visionary entrepreneur with a passion for sustainability and clean energy. She has a background in environmental science and has spent years working on renewable energy projects, advocating for eco-friendly solutions to the world's most pressing problems. Jessica brings to BatCorp a deep understanding of the impact that transportation has on the environment, and a desire to use technology to create a more sustainable future.

Alberto Cava, CTO of BatCorp Inc., is a seasoned engineer and technology expert. With a PhD in mechanical engineering, he has extensive experience in the design and development of electric vehicles. Alberto has a passion for creating innovative products that push the boundaries of what is possible, and has a talent for bringing complex technologies to market. At BatCorp, he is responsible for overseeing the company's technology development and ensuring that the batmobiles are at the forefront of innovation.

Together, Jessica and Alberto make a dynamic duo, with Jessica providing the strategic vision and Alberto bringing technical expertise to the table. Their complementary skills and shared passion for sustainability make them the ideal leaders to run BatCorp Inc. and bring their vision of environmentally friendly transportation to life."
"","","","Test org","CS Mott Children's Hospital in Ann Arbor, Corewell Health Children's Hospital in Grand Rapids and Children's Hospital of Michigan in Detroit and have joined together to develop alternatives to the current  insufficient community support offered in the state of Michigan with a goal of reducing length of hospital stay, reducing readmission rates and maintaining our children in the least restrictive environment through a multifaceted community support system which offers multilevel options for community-based care","    Support nursing pay equity across all service lines from hospital care to home care. Private duty nursing remains a critical component of community-based care which provides for skilled assessment of children with medical complexity.  The current care model would requires ongoing private duty nursing services in conjunction with the additional services available in the community.
      Explore developing paid family caregiving models. Family caregivers  provide supplemental care to coordinate with hours unfilled by private duty nursing.  States such as Colorado and New Hampshire have implemented programs where  family members are trained and certified as certified nurse assistants.  Family competency, tracking of work hours and compensation is overseen by a third party agency and would include care supervision by skilled nursing.
    Establishof day programs in high occupancy regions of the state to provide skilled daycare.  This service would provide options for families who require care during work hours that are unfilled by private duty nursing.  Day programs would also allow for respite. Current Medicaid structure allows for a nurse to care for multiple children and minor adjustments to current regulations would allow for these programs to be reimbursed through the Medicaid benefit.

Explore and develop transitional care homes.  Delay of discharge is frequently seen in cases of children discharging home for the first time with medical complexity including home ventilation, tracheostomy, total parental nutrition, and dialysis who are unable to secure adequate PDN staffing. Movement out of an acute care ICU setting into a residential home provides the least restrictive environment while allowing for appropriate care and continued family education and involvement.  These homes would not be intended to provide care indefinitely as they are not longterm care facilities.  ","Assessment:  The current community support system of private duty nursing as a single support is insufficient and inadequate to provide the least restrictive environment for Medicaid beneficiaries in the State of Michigan.  Additional supports are required to fill in the these gaps and provide for a robust community support system.  A multifaceted care model provides for alternatives when a single component of the system is inadequate to meet all needs."
